site,name,label,lat,lon,class,area_ha
1,Tuscarora Bay,1:Tuscarora Bay,43.31079641,-78.83874468,riverine,15.82042207
3,East Wilson Wetland,3:East Wilson Wetland,43.33129074,-78.75760351,riverine,0.717506801
4,Hopkins Creek Wetland,4:Hopkins Creek Wetland,43.33162243,-78.74526235,riverine,5.466823141
5,Eighteenmile Creek Wetland,5:Eighteenmile Creek Wetland,43.32727034,-78.71672763,riverine,27.07072516
6,Keg Creek Wetland,6:Keg Creek Wetland,43.35147369,-78.65267225,riverine,1.941054768
7,Somerset Wetland,7:Somerset Wetland,43.36932108,-78.53579152,riverine,2.021824646
8,Golden Hill State Park Wetland,8:Golden Hill State Park Wetland,43.37045642,-78.4781812,riverine,4.003774904
9,The Marsh,9:The Marsh,43.3695633,-78.31200604,riverine,3.480438949
10,Johnson Creek Wetland,10:Johnson Creek Wetland,43.36601367,-78.26109427,riverine,21.05590648
11,Oak Orchard Wetland,11:Oak Orchard Wetland,43.34966377,-78.20510463,riverine,84.47759929
12,Bald Eagle Creek Wetland,12:Bald Eagle Creek Wetland,43.36536582,-78.02945496,riverine,3.48055279
13,Troutburg Wetland,13:Troutburg Wetland,43.36461763,-77.997049,riverine,0.784110202
14,Hamlin Beach Wetland,14:Hamlin Beach Wetland,43.36415677,-77.96139083,barrier,1.594738211
15,Yanty Marsh,15:Yanty Marsh,43.35743847,-77.9335616,riverine,42.69026433
16,Sandy Harbor Wetland,16:Sandy Harbor Wetland,43.34872506,-77.89407801,riverine,31.91571008
17,Benedict Beach Area Wetland #4,17:Benedict Beach Area Wetland #4,43.34933699,-77.87893692,barrier,1.98294684
18,"Benedict Beach Area Wetland #3, #2, #1","18:Benedict Beach Area Wetland #3, #2, #1",43.34613228,-77.86509396,barrier,26.71461025
19,Shore Acres Wetland,19:Shore Acres Wetland,43.34629637,-77.85278424,barrier,3.621914414
20,Cowsucker Creek Wetland #1,20:Cowsucker Creek Wetland #1,43.34356369,-77.83939192,riverine,11.05481177
21,Cowsucker Creek Wetland #2,21:Cowsucker Creek Wetland #2,43.34376698,-77.83273473,barrier,4.512235753
22,Brush Creek Wetland,22:Brush Creek Wetland,43.33612799,-77.81293748,riverine,73.78491178
23,East Creek Wetland,23:East Creek Wetland,43.33809725,-77.79610906,riverine,11.79073106
24,Davidson Beach Wetland #1,24:Davidson Beach Wetland #1,43.33838915,-77.77962927,barrier,7.079368212
25,Davidson Beach Wetland #2,25:Davidson Beach Wetland #2,43.33896428,-77.76951242,barrier,11.05027943
26,Bogus Point Area Wetland,26:Bogus Point Area Wetland,43.33565727,-77.75828179,barrier,26.07022145
27,Payne Beach Area Wetland,27:Payne Beach Area Wetland,43.32653807,-77.73246222,barrier,58.47875375
28,Benchmark: Salmon Creek ,28:Benchmark: Salmon Creek ,43.30965589,-77.74047677,riverine,71.82293694
29,Benchmark: Long Pond Wetland,29:Benchmark: Long Pond Wetland,43.28912065,-77.69527774,barrier,226.7576717
30,Bootleggers Point Wetland #1,30:Bootleggers Point Wetland #1,43.28573765,-77.09753723,riverine,0.884331585
31,Bootleggers Point Wetland #2,31:Bootleggers Point Wetland #2,43.28055027,-77.07721792,riverine,1.20509475
32,Sill Creek Wetland,32:Sill Creek Wetland,43.26988959,-77.03861,riverine,0.616085299
33,Sunset Bay Wetland,33:Sunset Bay Wetland,43.52457542,-76.38735988,barrier,0.763479429
38,Ray Bay Marsh Area Wetland,38:Ray Bay Marsh Area Wetland,43.83846348,-76.26724714,barrier,0.400935697
43,Stony Island Wetland #3,43:Stony Island Wetland #3,43.88045256,-76.33531366,lacustrine,5.232257347
44,Stony Island Wetland #4,44:Stony Island Wetland #4,43.88447397,-76.34166009,lacustrine,0.317153873
